"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MASI","Masimo Corporation","229.7","$12.43B","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/masi",
"MCFT","MasterCraft Boat Holdings, Inc.","18.81","$354.98M","2015","Capital Goods","Marine Transportation","https://old.nasdaq.com/symbol/mcft",
"MTCH","Match Group, Inc.","105.67","$30.03B","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/mtch",
"MTLS","Materialise NV","23","$1.22B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mtls",
"MTRX","Matrix Service Company","9.32","$243.62M","1990","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/mtrx",
"MAT","Mattel, Inc.","9.83","$3.41B","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/mat",
"MATW","Matthews International Corporation","18.44","$576.61M","1994","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/matw",
"MXIM","Maxim Integrated Products, Inc.","59.69","$15.91B","1988","Technology","Semiconductors","https://old.nasdaq.com/symbol/mxim",
"MGRC","McGrath RentCorp","52.95","$1.28B","1984","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/mgrc",
"MDCA","MDC Partners Inc.","2.05","$152.7M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/mdca",
"MDJH","MDJM LTD","2.8","$32.59M","2019","Finance","Real Estate","https://old.nasdaq.com/symbol/mdjh",
